<<<<<<< HEAD
Timestamp,Violation,Confidence
2025-07-14 19:05:03,NO-Mask,0.94
2025-07-14 19:05:03,NO-Hardhat,0.89
2025-07-14 19:05:03,NO-Safety Vest,0.74
2025-07-14 19:05:03,NO-Mask,0.96
2025-07-14 19:05:03,NO-Hardhat,0.89
2025-07-14 19:05:03,NO-Safety Vest,0.74
2025-07-14 19:05:04,NO-Mask,0.95
2025-07-14 19:05:04,NO-Hardhat,0.86
2025-07-14 19:05:04,NO-Safety Vest,0.75
2025-07-14 19:05:04,NO-Mask,0.96
2025-07-14 19:05:04,NO-Hardhat,0.89
2025-07-14 19:05:04,NO-Safety Vest,0.77
2025-07-14 19:05:04,NO-Mask,0.95
2025-07-14 19:05:04,NO-Hardhat,0.87
2025-07-14 19:05:04,NO-Safety Vest,0.73
2025-07-14 19:05:05,NO-Mask,0.95
2025-07-14 19:05:05,NO-Hardhat,0.87
2025-07-14 19:05:05,NO-Safety Vest,0.71
2025-07-14 19:05:05,NO-Mask,0.96
2025-07-14 19:05:05,NO-Hardhat,0.86
2025-07-14 19:05:05,NO-Safety Vest,0.76
2025-07-14 19:05:05,NO-Mask,0.94
2025-07-14 19:05:05,NO-Hardhat,0.87
2025-07-14 19:05:05,NO-Safety Vest,0.77
2025-07-14 19:05:05,NO-Mask,0.96
2025-07-14 19:05:05,NO-Hardhat,0.86
2025-07-14 19:05:06,NO-Safety Vest,0.71
2025-07-14 19:05:06,NO-Mask,0.95
2025-07-14 19:05:06,NO-Hardhat,0.86
2025-07-14 19:05:06,NO-Safety Vest,0.73
2025-07-14 19:05:06,NO-Mask,0.96
2025-07-14 19:05:06,NO-Hardhat,0.88
2025-07-14 19:05:06,NO-Safety Vest,0.74
2025-07-14 19:05:07,NO-Mask,0.95
2025-07-14 19:05:07,NO-Hardhat,0.86
2025-07-14 19:05:07,NO-Safety Vest,0.75
2025-07-14 19:05:07,NO-Mask,0.96
2025-07-14 19:05:07,NO-Hardhat,0.85
2025-07-14 19:05:07,NO-Safety Vest,0.75
2025-07-14 19:05:07,NO-Mask,0.97
2025-07-14 19:05:07,NO-Hardhat,0.85
2025-07-14 19:05:07,NO-Safety Vest,0.76
2025-07-14 19:05:08,NO-Mask,0.96
2025-07-14 19:05:08,NO-Hardhat,0.85
2025-07-14 19:05:08,NO-Safety Vest,0.74
2025-07-14 19:05:08,NO-Mask,0.96
2025-07-14 19:05:08,NO-Hardhat,0.87
2025-07-14 19:05:08,NO-Safety Vest,0.76
2025-07-14 19:05:08,NO-Mask,0.96
2025-07-14 19:05:08,NO-Hardhat,0.87
2025-07-14 19:05:08,NO-Safety Vest,0.73
2025-07-14 19:05:09,NO-Mask,0.96
2025-07-14 19:05:09,NO-Hardhat,0.88
2025-07-14 19:05:09,NO-Safety Vest,0.71
2025-07-14 19:05:09,NO-Mask,0.96
2025-07-14 19:05:09,NO-Hardhat,0.85
2025-07-14 19:05:09,NO-Safety Vest,0.74
2025-07-14 19:05:09,NO-Mask,0.96
2025-07-14 19:05:09,NO-Hardhat,0.86
2025-07-14 19:05:10,NO-Safety Vest,0.76
2025-07-14 19:05:10,NO-Mask,0.96
2025-07-14 19:05:10,NO-Hardhat,0.86
2025-07-14 19:05:10,NO-Safety Vest,0.76
2025-07-14 19:05:10,NO-Mask,0.97
2025-07-14 19:05:10,NO-Hardhat,0.87
2025-07-14 19:05:10,NO-Safety Vest,0.76
2025-07-14 19:05:11,NO-Mask,0.97
2025-07-14 19:05:11,NO-Hardhat,0.87
2025-07-14 19:05:11,NO-Safety Vest,0.73
2025-07-14 19:08:57,NO-Hardhat,0.9
2025-07-14 19:08:57,NO-Mask,0.72
2025-07-14 19:08:57,NO-Safety Vest,0.64
2025-07-14 19:08:57,NO-Hardhat,0.55
2025-07-14 19:08:57,NO-Mask,0.46
2025-07-14 19:08:57,NO-Safety Vest,0.28
>>>>>>> ceccc87a0c5187c95b5d6d2b9026185df17ecd5c
